continent,education_of_employee,has_job_experience,requires_job_training,no_of_employees,yr_of_estab,region_of_employment,unit_of_wage,full_time_position,wage_range
Asia,Bachelor's,N,Y,2245,1992,Northeast,Year,Y,< 50000
Asia,Master's,N,N,2683,2006,Northeast,Year,N,> 100000
North America,Bachelor's,Y,N,1009,1989,Midwest,Year,Y,< 50000
Asia,Bachelor's,N,Y,613,1941,West,Year,Y,< 50000
Asia,High School,Y,N,58550,1947,West,Hour,Y,> 100000
Europe,Doctorate,N,N,2805,1998,West,Year,Y,< 50000
Asia,Master's,N,N,2662,1993,South,Year,N,50000-100000
Asia,Bachelor's,N,N,4242,2014,West,Year,Y,< 50000
Asia,Master's,N,N,278,2005,West,Year,N,> 100000
Asia,Bachelor's,Y,N,1355,2013,West,Year,Y,< 50000
North America,Bachelor's,N,N,704,1972,Island,Year,Y,> 100000
Asia,Bachelor's,N,Y,2378,2007,Northeast,Year,Y,< 50000
Asia,Master's,N,N,13934,1985,West,Year,Y,50000-100000
Africa,Bachelor's,N,N,2836,1971,Northeast,Year,Y,< 50000
Europe,Bachelor's,Y,N,4640,1985,West,Year,Y,< 50000
Asia,Doctorate,Y,N,122114,1999,Northeast,Year,Y,> 100000
Asia,Doctorate,Y,N,1337,1988,Northeast,Week,Y,50000-100000
Asia,Bachelor's,N,N,427,1977,South,Year,Y,> 100000
Asia,Bachelor's,Y,N,216,2012,South,Year,Y,< 50000
Asia,Master's,Y,N,541,1999,Midwest,Year,Y,50000-100000
Asia,Bachelor's,N,N,1976,2009,West,Year,Y,> 100000
Europe,Bachelor's,Y,N,434,2006,Northeast,Year,Y,< 50000
Asia,Bachelor's,N,N,3421,1998,Midwest,Year,Y,> 100000
Asia,Bachelor's,Y,N,19608,1939,South,Year,Y,50000-100000
Asia,Bachelor's,Y,N,3460,1960,West,Year,Y,50000-100000
Asia,Master's,N,N,3362,1993,South,Year,N,50000-100000
Asia,Master's,N,N,2067,2005,Midwest,Year,Y,> 100000
Asia,Doctorate,Y,N,2114,1984,Midwest,Year,Y,50000-100000
North America,Bachelor's,N,N,4320,1986,Northeast,Year,Y,< 50000
Asia,Master's,N,N,3799,1999,West,Year,Y,50000-100000
Europe,Master's,Y,Y,753,2001,Midwest,Year,Y,< 50000
Asia,Master's,Y,N,4735,2012,West,Year,Y,50000-100000
Asia,Master's,Y,N,4567,1899,Northeast,Year,Y,50000-100000
Asia,Bachelor's,N,N,2554,1987,West,Year,Y,> 100000
Europe,High School,N,N,5039,2004,South,Year,Y,> 100000
Asia,Master's,N,N,1544,1899,Northeast,Year,N,< 50000
Asia,High School,Y,N,1832,2005,South,Hour,Y,> 100000
Asia,High School,N,N,2501,2015,West,Year,Y,50000-100000
Asia,High School,N,N,382,1995,Midwest,Year,Y,> 100000
North America,Master's,Y,N,2756,2011,Northeast,Year,Y,50000-100000
Asia,Master's,Y,Y,2219,2001,South,Year,Y,> 100000
Asia,Master's,Y,N,1408,1998,Midwest,Year,N,50000-100000
Asia,Bachelor's,Y,N,3101,1992,West,Year,Y,> 100000
Asia,Master's,Y,N,2021,2007,Midwest,Year,Y,> 100000
Asia,Bachelor's,Y,N,1448,1975,Northeast,Year,Y,< 50000
Asia,Bachelor's,N,Y,1899,1986,West,Year,Y,50000-100000
North America,Bachelor's,N,N,940,2013,South,Year,Y,> 100000
Asia,Master's,Y,N,3670,1920,Northeast,Year,Y,< 50000
Asia,Master's,N,N,43102,1939,South,Year,Y,50000-100000
Asia,Master's,Y,N,5306,2008,South,Year,Y,50000-100000
Asia,Bachelor's,Y,N,1488,2011,West,Year,Y,> 100000
Europe,Master's,N,N,479,1988,South,Hour,Y,< 50000
Asia,Master's,Y,N,453142,1988,Northeast,Year,Y,50000-100000
Asia,Master's,Y,N,1773,2014,Midwest,Year,Y,< 50000
Asia,Doctorate,N,N,694,2004,Northeast,Year,Y,< 50000
Asia,Master's,N,N,707,2008,South,Year,Y,> 100000
North America,Bachelor's,Y,N,5400,2000,Northeast,Year,Y,50000-100000
North America,Bachelor's,Y,N,2596,2001,South,Year,N,50000-100000
Europe,Bachelor's,Y,N,2306,1881,Northeast,Year,Y,50000-100000
Asia,Bachelor's,Y,N,18073,2005,Northeast,Year,Y,50000-100000
Asia,Doctorate,Y,N,3863,2007,Midwest,Year,Y,50000-100000
Asia,Doctorate,Y,N,5334,2008,South,Year,Y,< 50000
Asia,Master's,N,Y,961,2005,West,Year,Y,> 100000
Asia,Master's,Y,N,1814,2000,Northeast,Year,Y,< 50000
Asia,High School,Y,N,1515,1999,South,Year,Y,< 50000
Asia,Bachelor's,Y,N,2658,2004,Northeast,Year,Y,> 100000
Asia,Bachelor's,Y,N,28,2002,West,Year,Y,< 50000
Asia,Bachelor's,N,N,495,2006,Northeast,Year,N,50000-100000
North America,Bachelor's,Y,Y,382,2006,Northeast,Year,Y,> 100000
Asia,Bachelor's,Y,N,1426,1972,Midwest,Year,N,> 100000
Asia,Bachelor's,Y,N,4755,2007,West,Year,Y,50000-100000
North America,Master's,N,N,627,1994,Northeast,Year,Y,50000-100000
Asia,Bachelor's,N,Y,26692,1979,West,Year,Y,< 50000
Asia,Bachelor's,Y,N,1285,1995,West,Hour,Y,> 100000
Asia,Bachelor's,Y,N,1143,1855,Midwest,Year,Y,< 50000
Asia,Master's,N,N,3592,2003,Northeast,Hour,Y,50000-100000
Europe,Master's,Y,N,417,1998,Northeast,Year,Y,< 50000
North America,Master's,Y,N,2284,2005,West,Year,Y,50000-100000
Europe,Master's,N,N,1200,2001,South,Year,Y,< 50000
Asia,Doctorate,Y,N,33,1991,Midwest,Year,N,< 50000
Europe,Master's,N,N,1309,1966,West,Year,Y,< 50000
Asia,Bachelor's,N,N,2154,1961,West,Year,Y,50000-100000
Asia,Bachelor's,Y,N,1892,1957,West,Year,Y,> 100000
Asia,Master's,N,N,5040,2005,South,Year,N,< 50000
North America,Bachelor's,Y,N,1567,1974,South,Year,Y,< 50000
North America,High School,Y,N,4327,2012,Island,Year,Y,50000-100000
Asia,Master's,N,Y,2380,1997,Northeast,Year,Y,> 100000
Asia,Doctorate,Y,Y,507,1986,West,Year,Y,> 100000
North America,Master's,Y,N,2308,1997,Island,Year,Y,> 100000
Europe,Bachelor's,Y,N,2166,1954,Northeast,Year,Y,50000-100000
Asia,Bachelor's,N,N,2892,1995,Northeast,Year,Y,50000-100000
Asia,Master's,N,N,2587,1928,Northeast,Year,Y,50000-100000
Asia,Bachelor's,N,N,642,1991,Northeast,Year,Y,< 50000
Asia,Master's,Y,N,2973,2006,Midwest,Year,Y,50000-100000
Asia,Master's,Y,N,19337,1969,Northeast,Year,Y,50000-100000
Asia,High School,Y,N,5498,1896,West,Year,Y,> 100000
Europe,Master's,Y,N,196,1973,Northeast,Year,Y,< 50000
Asia,Master's,N,N,1853,1926,Northeast,Year,N,> 100000
Asia,Doctorate,N,Y,433,1867,South,Year,Y,> 100000
Asia,Master's,N,N,365,1896,Northeast,Year,Y,50000-100000
North America,Bachelor's,N,N,229,2005,West,Hour,Y,50000-100000
Asia,Master's,N,N,3539,1984,South,Year,N,50000-100000
Europe,Bachelor's,Y,N,1432,2000,Island,Year,Y,50000-100000
Asia,Master's,N,N,1829,1838,South,Hour,Y,< 50000
Asia,Bachelor's,N,N,1463,1964,South,Year,Y,50000-100000
North America,Master's,Y,N,4241,1993,South,Year,N,> 100000
Europe,Bachelor's,Y,N,98336,1902,Northeast,Year,Y,< 50000
Asia,High School,Y,N,1335,1948,West,Year,Y,< 50000
Asia,Bachelor's,Y,N,3197,1998,South,Year,Y,50000-100000
Asia,High School,N,N,154164,2011,Northeast,Year,Y,50000-100000
Europe,Bachelor's,Y,N,8646,1985,South,Year,Y,> 100000
Asia,Master's,N,N,1531,2005,Northeast,Year,N,50000-100000
Asia,Master's,Y,N,2999,2001,Midwest,Year,Y,< 50000
Africa,Bachelor's,Y,N,324,1916,Northeast,Hour,Y,50000-100000
Asia,Bachelor's,Y,N,1331,1963,Northeast,Year,Y,< 50000
Asia,Master's,Y,N,6691,2007,West,Year,Y,< 50000
Asia,Master's,Y,N,3642,1960,West,Year,Y,< 50000
Asia,Master's,N,N,1635,2001,West,Year,Y,50000-100000
Asia,Master's,N,N,3056,2012,West,Year,N,> 100000
South America,Bachelor's,Y,N,25914,2004,South,Hour,Y,> 100000
Asia,Bachelor's,N,N,4926,2008,South,Year,Y,< 50000
Asia,Bachelor's,N,N,16752,2007,South,Year,Y,50000-100000
Asia,Master's,N,N,356,1999,West,Year,Y,> 100000
Asia,Master's,N,N,415,1838,West,Year,Y,< 50000
Asia,Bachelor's,Y,N,1986,1985,West,Year,Y,< 50000
Asia,Bachelor's,N,N,1741,2000,West,Year,Y,50000-100000
Asia,Doctorate,N,N,1618,1977,West,Hour,Y,> 100000
Europe,Doctorate,N,N,33130,1990,South,Year,Y,50000-100000
Asia,Master's,Y,N,2478,2004,South,Year,Y,< 50000
Asia,Master's,N,N,4634,1988,West,Year,Y,< 50000
Asia,Bachelor's,Y,N,3958,1895,South,Year,Y,< 50000
Europe,Doctorate,Y,N,614,1866,West,Year,Y,< 50000
Europe,Bachelor's,Y,N,2327,2004,West,Year,Y,50000-100000
Asia,Bachelor's,N,Y,331,2012,South,Year,Y,50000-100000
South America,Master's,Y,N,142,1981,Northeast,Hour,Y,> 100000
South America,Bachelor's,N,N,2957,1985,Northeast,Hour,Y,< 50000
North America,High School,N,N,1577,1868,Midwest,Year,Y,> 100000
North America,Bachelor's,Y,N,2419,1884,West,Year,Y,< 50000
Asia,Bachelor's,N,Y,24,1991,West,Year,Y,50000-100000
Asia,Bachelor's,N,N,11503,1855,Northeast,Hour,Y,50000-100000
Asia,High School,Y,N,544,1971,Northeast,Year,Y,> 100000
South America,Master's,Y,N,5674,1999,West,Year,Y,< 50000
Europe,Master's,Y,N,2477,2007,Midwest,Year,Y,50000-100000
Asia,Master's,Y,N,5179,1998,South,Year,Y,< 50000
Asia,Master's,N,N,737,1872,Northeast,Year,N,50000-100000
Asia,Bachelor's,N,N,141,1982,Northeast,Year,Y,> 100000
Asia,Bachelor's,Y,N,49,1992,South,Year,Y,< 50000
Asia,Bachelor's,Y,N,531,1885,Midwest,Year,Y,> 100000
Asia,Bachelor's,N,N,2433,1994,Northeast,Hour,Y,< 50000
Asia,High School,Y,N,3738,2002,Midwest,Year,Y,< 50000
Asia,High School,Y,N,3700,2004,Northeast,Year,Y,< 50000
Asia,High School,N,N,4813,2007,Midwest,Year,Y,50000-100000
Asia,Bachelor's,Y,N,1398,2007,Northeast,Year,Y,< 50000
Europe,Doctorate,Y,N,3412,2010,South,Year,Y,< 50000
North America,High School,Y,N,4550,1945,Northeast,Year,Y,< 50000
Asia,Bachelor's,Y,N,2519,1869,South,Year,Y,> 100000
Asia,Bachelor's,N,N,3727,2001,West,Year,Y,50000-100000
North America,Bachelor's,Y,N,439,1925,South,Year,N,> 100000
Asia,High School,Y,N,2492,2009,West,Year,Y,> 100000
Europe,Master's,Y,Y,4035,1998,Northeast,Year,Y,< 50000
Asia,Master's,N,N,2205,1960,South,Year,N,> 100000
Asia,High School,N,N,3743,1998,South,Year,Y,> 100000
South America,Master's,Y,N,2509,2009,West,Year,Y,< 50000
Asia,Bachelor's,Y,N,1606,2011,West,Month,Y,> 100000
North America,Doctorate,Y,N,1983,1998,South,Year,Y,50000-100000
Asia,Bachelor's,Y,Y,670,1938,West,Year,Y,50000-100000
Asia,Doctorate,N,N,600,1912,West,Year,Y,> 100000
North America,Master's,Y,N,3275,1996,South,Year,Y,50000-100000
Asia,High School,N,N,254,1996,West,Year,Y,> 100000
Asia,Bachelor's,N,Y,1913,2013,South,Year,Y,50000-100000
Europe,Bachelor's,Y,N,5841,2006,South,Year,N,50000-100000
South America,High School,Y,N,2259,1965,Midwest,Year,Y,50000-100000
Asia,Master's,Y,N,467,2013,West,Hour,Y,> 100000
Asia,Doctorate,Y,N,122,1993,Northeast,Year,Y,50000-100000
Asia,Bachelor's,Y,N,234,1848,West,Year,Y,> 100000
Asia,Bachelor's,Y,N,3853,2007,West,Year,Y,50000-100000
Europe,High School,Y,N,2667,1974,South,Year,Y,> 100000
Asia,Bachelor's,Y,N,2141,1992,Northeast,Year,Y,< 50000
North America,Master's,Y,N,4393,1997,Northeast,Year,Y,< 50000
Europe,Doctorate,Y,N,48289,1998,West,Year,Y,< 50000
North America,High School,N,N,25,1987,South,Year,N,50000-100000
Asia,Bachelor's,N,N,872,1991,Northeast,Year,Y,> 100000
Asia,Master's,Y,N,1596,2003,West,Year,Y,< 50000
Asia,Bachelor's,N,Y,1589,1999,Northeast,Hour,Y,< 50000
Asia,Master's,Y,Y,1414,1994,West,Year,Y,50000-100000
Asia,Master's,N,N,2614,2006,Northeast,Week,Y,> 100000
Asia,Master's,Y,N,35124,1998,Northeast,Year,Y,< 50000
Asia,Bachelor's,N,N,3918,1966,South,Year,N,50000-100000
Asia,High School,Y,N,583,2011,Midwest,Year,Y,> 100000
Asia,Bachelor's,N,N,8545,1985,West,Year,Y,> 100000
Asia,Master's,N,N,5575,2011,Northeast,Year,Y,50000-100000
Asia,Bachelor's,Y,N,489,1934,Midwest,Year,N,50000-100000
Asia,Master's,Y,Y,1221,1948,West,Year,Y,50000-100000
Asia,High School,Y,N,648,1999,South,Year,Y,50000-100000
North America,Master's,Y,N,3515,2006,Northeast,Year,N,> 100000
Europe,Bachelor's,Y,N,1364,1998,West,Year,Y,50000-100000
Asia,Doctorate,N,N,2902,2005,Midwest,Year,Y,50000-100000
Africa,High School,Y,N,1220,2002,Northeast,Year,Y,> 100000
Asia,High School,N,N,1999,1919,South,Year,Y,< 50000
Europe,Master's,Y,N,4236,1997,Northeast,Year,Y,< 50000
Asia,Bachelor's,Y,Y,1887,1900,South,Year,Y,50000-100000
Asia,Bachelor's,Y,N,130,2004,Northeast,Year,Y,< 50000
Asia,Master's,N,N,2153,2002,Midwest,Year,Y,> 100000
Africa,Bachelor's,Y,N,502,2004,Northeast,Year,Y,50000-100000
Asia,Doctorate,Y,N,1091,1850,Northeast,Year,Y,50000-100000
Asia,High School,N,N,932,1980,Northeast,Year,Y,< 50000
Asia,Master's,Y,N,1647,2007,West,Year,Y,> 100000
North America,Doctorate,Y,N,4719,1995,West,Year,Y,> 100000
Asia,Master's,Y,N,2094,2008,Midwest,Year,Y,< 50000
Asia,Bachelor's,N,N,1174,1998,West,Year,Y,< 50000
Asia,Master's,Y,N,2878,1968,West,Year,Y,< 50000
Europe,High School,Y,N,1485,1973,South,Year,Y,< 50000
Asia,Bachelor's,Y,N,1018,1981,South,Year,Y,< 50000
Asia,Bachelor's,N,N,257,1997,South,Year,Y,50000-100000
Asia,Bachelor's,N,N,1370,1981,West,Year,Y,< 50000
Asia,High School,N,Y,267,1986,South,Hour,Y,< 50000
Asia,High School,N,N,3846,1998,South,Year,Y,< 50000
Europe,Bachelor's,Y,N,3034,1995,West,Year,Y,50000-100000
Asia,Bachelor's,Y,N,5225,1945,Midwest,Year,Y,50000-100000
Asia,Bachelor's,N,N,2607,2010,Midwest,Year,Y,50000-100000
Asia,Master's,N,N,554,1999,Northeast,Hour,Y,50000-100000
Europe,Bachelor's,Y,N,108339,1996,Northeast,Year,Y,50000-100000
Asia,High School,Y,N,4072,2006,Northeast,Year,Y,< 50000
Asia,High School,N,Y,1311,1999,Northeast,Year,Y,> 100000
Asia,Bachelor's,Y,N,4581,1998,Northeast,Year,N,50000-100000
Asia,High School,Y,N,727,1999,West,Year,Y,50000-100000
Asia,High School,N,N,5203,2001,South,Hour,Y,> 100000
Asia,Bachelor's,Y,N,1766,1997,South,Year,Y,< 50000
Asia,High School,N,N,2149,2000,West,Hour,Y,< 50000
North America,Master's,Y,N,2674,2008,Northeast,Year,Y,> 100000
Asia,High School,Y,N,4043,1895,South,Year,Y,< 50000
Africa,Bachelor's,N,N,3347,2000,Northeast,Hour,Y,> 100000
Asia,Bachelor's,Y,N,4245,1855,Northeast,Year,Y,< 50000
Asia,High School,Y,N,4727,1990,Midwest,Year,Y,50000-100000
Europe,High School,N,N,228,2006,Midwest,Year,Y,< 50000
Asia,Bachelor's,Y,Y,190,1994,South,Year,Y,50000-100000
Asia,High School,Y,N,814,1852,West,Hour,Y,> 100000
North America,Master's,N,N,73571,2007,South,Hour,Y,50000-100000
Europe,Master's,N,N,2328,1920,West,Year,Y,> 100000
Asia,Master's,N,Y,1755,1956,West,Year,Y,> 100000
Asia,Master's,Y,N,1060,1978,South,Year,Y,> 100000
Europe,Master's,Y,N,6046,1996,Northeast,Year,Y,< 50000
Oceania,Bachelor's,Y,N,1441,1996,Northeast,Year,Y,< 50000
Asia,Master's,Y,N,4586,1873,West,Year,Y,50000-100000
Africa,Bachelor's,Y,N,14083,1994,Northeast,Year,Y,< 50000
Africa,Doctorate,Y,N,16,1985,West,Year,Y,< 50000
Asia,Bachelor's,Y,Y,364,1975,South,Year,Y,50000-100000
Asia,Bachelor's,N,N,3353,1992,West,Hour,Y,< 50000
Asia,Bachelor's,Y,N,4590,1980,South,Year,Y,50000-100000
Europe,Doctorate,Y,N,2320,1988,South,Year,Y,< 50000
Asia,Master's,N,Y,1623,1997,West,Year,Y,50000-100000
Europe,Bachelor's,N,Y,4029,1997,Northeast,Year,Y,50000-100000
Asia,Bachelor's,Y,N,463,2006,Northeast,Year,Y,50000-100000
Asia,High School,Y,N,2987,2003,Midwest,Year,Y,> 100000
Asia,Bachelor's,Y,N,721,2008,South,Year,Y,> 100000
Asia,Bachelor's,Y,Y,1939,1982,Northeast,Year,Y,> 100000
Europe,Bachelor's,Y,N,1379,2006,West,Year,Y,50000-100000
Africa,Bachelor's,Y,N,2779,1981,Midwest,Year,Y,50000-100000
Asia,High School,Y,N,3660,2010,South,Hour,Y,50000-100000
Asia,Master's,Y,N,1451,1932,West,Year,Y,> 100000
Asia,Master's,Y,N,4239,2008,West,Year,Y,50000-100000
Asia,Bachelor's,N,N,723,2006,Northeast,Year,Y,50000-100000
Asia,Master's,Y,N,115953,2006,Northeast,Year,Y,50000-100000
Asia,Master's,N,N,3847,2008,Northeast,Year,Y,< 50000
Asia,High School,Y,N,736,2010,South,Year,Y,> 100000
North America,Master's,Y,N,3671,1987,Northeast,Year,Y,50000-100000
Europe,High School,Y,Y,1248,1999,South,Year,Y,< 50000
Asia,Master's,Y,N,1305,1994,Northeast,Year,Y,50000-100000
Asia,Master's,Y,N,34236,1996,West,Year,N,> 100000
Asia,High School,N,N,1353,2002,Midwest,Year,Y,< 50000
Europe,Master's,Y,N,875,1979,West,Year,Y,< 50000
Asia,Master's,Y,N,3605,2010,Northeast,Year,Y,< 50000
Asia,Bachelor's,Y,N,309,2006,South,Year,Y,< 50000
Europe,Bachelor's,N,N,1615,1988,West,Year,Y,50000-100000
Asia,Bachelor's,Y,N,1682,2000,Midwest,Year,Y,< 50000
North America,Bachelor's,N,N,2448,1994,West,Year,N,> 100000
Asia,Master's,Y,N,4170,1885,Northeast,Year,Y,< 50000
Asia,Bachelor's,Y,N,1477,2001,West,Year,Y,> 100000
North America,Bachelor's,Y,Y,854,1956,West,Year,Y,> 100000
Asia,Master's,N,N,3441,2005,Midwest,Year,Y,> 100000
Asia,Master's,N,N,3138,1947,Northeast,Hour,Y,< 50000
Europe,Bachelor's,N,N,1470,1969,Northeast,Year,Y,< 50000
Africa,Master's,Y,N,2746,1977,West,Year,Y,< 50000
Asia,Master's,Y,N,1593,2008,South,Year,Y,< 50000
North America,Master's,Y,N,2336,1819,West,Month,Y,50000-100000
South America,Doctorate,N,Y,2398,1946,South,Year,Y,> 100000
Asia,Master's,Y,Y,765,1855,West,Year,Y,< 50000
Europe,Bachelor's,N,N,540,2007,South,Hour,Y,> 100000
Oceania,Bachelor's,N,N,3227,1928,Midwest,Year,Y,50000-100000
Asia,Bachelor's,Y,N,1696,1987,South,Year,Y,50000-100000
Asia,Master's,N,N,1127,1998,West,Year,Y,< 50000
Asia,High School,Y,N,2825,2003,West,Year,Y,50000-100000
Asia,Doctorate,Y,N,5628,2012,West,Year,Y,50000-100000
Asia,High School,Y,N,3600,1993,Northeast,Year,Y,50000-100000
North America,Bachelor's,Y,N,3047,1807,West,Week,Y,50000-100000
Asia,Bachelor's,N,Y,2049,2003,South,Year,Y,< 50000
South America,Bachelor's,N,N,3956,2004,Northeast,Year,Y,50000-100000
Asia,Master's,N,N,1003,1972,South,Year,N,50000-100000
Asia,Master's,N,N,138,1888,Northeast,Hour,Y,50000-100000
Asia,Master's,Y,N,1673,2012,South,Year,N,> 100000
North America,High School,N,N,589,1885,Northeast,Year,Y,50000-100000
Asia,Doctorate,N,Y,1162,2013,South,Year,Y,< 50000
Europe,High School,Y,Y,1385,2002,South,Year,Y,50000-100000
Asia,Bachelor's,Y,N,1501,2001,South,Year,Y,< 50000
Asia,Bachelor's,Y,N,2522,1993,Northeast,Year,Y,< 50000
South America,Master's,Y,N,2300,2007,Northeast,Year,Y,50000-100000
Asia,Master's,Y,N,93,1896,Northeast,Year,Y,< 50000
Asia,Master's,Y,N,1193,1999,Midwest,Year,Y,< 50000
Asia,Master's,Y,N,1080,1974,Northeast,Year,Y,< 50000
Asia,Doctorate,Y,N,19569,1880,Northeast,Year,Y,< 50000
Asia,Master's,Y,N,2411,2008,Midwest,Year,Y,50000-100000
Asia,Master's,N,N,3256,1986,Northeast,Year,Y,< 50000
Asia,Master's,Y,N,2318,1989,Northeast,Year,Y,50000-100000
Asia,Master's,N,N,326,2000,Midwest,Year,Y,> 100000
Oceania,Master's,Y,N,1131,2001,South,Hour,Y,50000-100000
Asia,Master's,Y,N,4272,1985,Northeast,Year,Y,< 50000
Africa,Master's,N,N,1746,2006,Northeast,Year,Y,> 100000
Asia,Master's,N,N,3616,2008,West,Year,Y,50000-100000
North America,Master's,Y,N,3747,1989,West,Year,Y,50000-100000
Asia,High School,N,N,3852,1998,South,Year,N,> 100000
South America,Bachelor's,Y,N,2338,2008,South,Year,Y,50000-100000
Asia,Master's,N,N,4813,2009,West,Year,Y,< 50000
Asia,Master's,N,N,957,2010,Northeast,Hour,Y,> 100000
Asia,Bachelor's,N,N,1364,2007,Northeast,Year,Y,< 50000
Asia,Bachelor's,N,N,1793,1993,West,Year,Y,50000-100000
Asia,Bachelor's,N,N,486,2011,South,Year,Y,> 100000
Asia,Bachelor's,Y,N,3758,2010,Northeast,Year,Y,< 50000
North America,Master's,N,N,3792,1982,Northeast,Year,N,> 100000
Asia,Bachelor's,N,N,2824,1934,West,Year,Y,< 50000
Europe,Bachelor's,Y,N,1326,1987,West,Year,Y,< 50000
South America,Master's,N,N,1492,2004,West,Year,Y,50000-100000
Asia,High School,N,N,4329,2001,West,Year,Y,50000-100000
Asia,Master's,Y,N,1790,1876,Northeast,Year,Y,< 50000
North America,High School,N,N,607,2011,Midwest,Hour,Y,> 100000
Africa,High School,Y,N,448,1989,Midwest,Year,Y,50000-100000
Europe,Bachelor's,Y,N,2848,2003,West,Year,Y,< 50000
Europe,Doctorate,N,N,15602,2001,Northeast,Year,Y,< 50000
Asia,Doctorate,N,N,1024,2007,West,Year,Y,> 100000
Asia,Bachelor's,N,N,91,1879,West,Year,Y,> 100000
Asia,Bachelor's,Y,N,5201,1992,Northeast,Year,Y,50000-100000
Asia,Bachelor's,N,Y,374,1839,West,Year,Y,< 50000
Asia,Master's,Y,N,673,2005,South,Year,Y,> 100000
Europe,High School,N,N,2816,2001,South,Year,Y,50000-100000
Asia,Master's,Y,N,2614,1982,Midwest,Year,Y,50000-100000
Asia,Master's,Y,N,4412,2006,West,Year,Y,< 50000
Europe,Bachelor's,Y,N,2225,1885,West,Year,Y,> 100000
Asia,Master's,N,N,2611,1934,Northeast,Week,Y,50000-100000
Asia,Master's,N,N,2445,2005,Midwest,Year,Y,> 100000
Asia,High School,Y,N,5541,2002,Midwest,Year,Y,< 50000
Asia,Master's,Y,N,2628,1877,West,Week,Y,50000-100000
Asia,Master's,N,N,227,1952,South,Year,Y,50000-100000
Europe,Master's,N,Y,606,2006,West,Year,Y,50000-100000
Asia,Master's,Y,N,827,2009,West,Year,Y,< 50000
Asia,Bachelor's,Y,N,63422,2001,Island,Year,Y,> 100000
Asia,Master's,Y,N,4697,1997,South,Year,Y,< 50000
Asia,Master's,Y,N,2079,1986,Midwest,Year,Y,> 100000
South America,Bachelor's,N,N,32899,2001,South,Hour,Y,> 100000
Asia,Master's,Y,N,2360,1995,Midwest,Year,Y,> 100000
Asia,High School,Y,N,1663,2005,Midwest,Year,Y,50000-100000
Europe,Bachelor's,Y,N,2498,1853,Midwest,Hour,Y,50000-100000
Asia,High School,Y,N,3906,2010,West,Year,Y,50000-100000
Asia,Master's,Y,N,10301,1998,Midwest,Year,Y,50000-100000
Asia,Bachelor's,Y,N,1626,1817,West,Year,N,> 100000
Asia,Bachelor's,N,Y,7795,2011,South,Year,Y,> 100000
Asia,Master's,Y,N,926,1913,Northeast,Year,Y,> 100000
Asia,High School,Y,N,1270,2005,Northeast,Hour,Y,> 100000
North America,Master's,N,N,480,2008,Northeast,Year,Y,50000-100000
Asia,Doctorate,N,Y,1131,1997,West,Year,Y,< 50000
Africa,Master's,N,N,3572,1989,Midwest,Year,Y,< 50000
Asia,Bachelor's,N,Y,287,2005,South,Year,Y,50000-100000
Asia,Master's,N,N,2283,2008,Midwest,Year,Y,> 100000
North America,Master's,Y,Y,34,1986,West,Year,Y,< 50000
Africa,Bachelor's,N,N,29,1966,Northeast,Hour,Y,> 100000
Europe,Master's,Y,N,2569,2008,West,Year,Y,< 50000
Europe,Doctorate,N,N,2498,2005,West,Hour,Y,> 100000
Asia,High School,Y,N,491,2004,Northeast,Year,Y,> 100000
Asia,Bachelor's,N,N,2317,2003,South,Year,Y,50000-100000
Europe,Master's,Y,N,22104,1995,Northeast,Year,Y,50000-100000
Asia,Master's,Y,N,1687,2010,Northeast,Year,Y,50000-100000
North America,Master's,N,N,2432,2004,Northeast,Year,Y,< 50000
Europe,High School,Y,N,1463,2010,South,Year,Y,50000-100000
Asia,High School,Y,N,2174,1967,Northeast,Year,Y,50000-100000
Asia,Master's,N,N,5117,1994,West,Year,Y,50000-100000
Asia,High School,N,N,252,2001,South,Year,Y,< 50000
Asia,High School,N,N,3631,1999,Midwest,Year,Y,50000-100000
Asia,Master's,N,N,2334,2004,South,Year,Y,50000-100000
Asia,Master's,N,N,2716,1982,Midwest,Year,Y,> 100000
Asia,Master's,N,N,2911,2004,Midwest,Year,Y,50000-100000
Asia,High School,N,N,4455,1999,Midwest,Year,Y,> 100000
Asia,Master's,N,N,572,1979,South,Year,N,50000-100000
Asia,Bachelor's,N,N,1603,2002,Northeast,Hour,Y,> 100000
Asia,Bachelor's,N,N,1249,1991,West,Year,Y,50000-100000
Asia,Master's,Y,N,5364,2004,Northeast,Year,Y,50000-100000
Asia,Bachelor's,N,N,1359,2001,Northeast,Hour,Y,< 50000
Asia,Bachelor's,N,N,982,2001,Northeast,Year,Y,< 50000
Asia,Master's,Y,N,2567,2003,West,Year,Y,> 100000
Asia,Master's,N,N,2673,1817,Midwest,Year,Y,50000-100000
Africa,Master's,Y,N,4420,1984,West,Year,Y,50000-100000
Asia,Master's,N,N,418,2000,Northeast,Year,N,> 100000
Asia,Bachelor's,Y,Y,1459,2002,South,Hour,Y,> 100000
Asia,High School,N,N,3532,1995,Northeast,Year,Y,> 100000
Asia,High School,Y,N,1329,1959,South,Year,Y,> 100000
Asia,Bachelor's,N,N,1375,1993,West,Year,Y,> 100000
Asia,High School,N,N,1628,1929,South,Year,Y,> 100000
North America,Master's,N,N,4528,1989,West,Year,Y,< 50000
Europe,Master's,Y,N,353,2010,West,Year,Y,< 50000
Asia,High School,Y,N,5018,2004,Midwest,Year,Y,50000-100000
